order_id,customer_id,order_date,required_date,shipped_date,store_id,staff_id
1,259,01-01-2016,03-01-2016,03-01-2016,1,2
2,1212,01-01-2016,04-01-2016,03-01-2016,2,6
3,523,02-01-2016,05-01-2016,03-01-2016,2,7
4,175,03-01-2016,04-01-2016,05-01-2016,1,3
5,1324,03-01-2016,06-01-2016,06-01-2016,2,6
6,94,04-01-2016,07-01-2016,05-01-2016,2,6
7,324,04-01-2016,07-01-2016,05-01-2016,2,6
8,1204,04-01-2016,05-01-2016,05-01-2016,2,7
9,60,05-01-2016,08-01-2016,08-01-2016,1,2
10,442,05-01-2016,06-01-2016,06-01-2016,2,6
11,1326,05-01-2016,08-01-2016,07-01-2016,2,7
12,91,06-01-2016,08-01-2016,09-01-2016,1,2
13,873,08-01-2016,11-01-2016,11-01-2016,2,6
14,258,09-01-2016,11-01-2016,12-01-2016,1,3
15,450,09-01-2016,10-01-2016,12-01-2016,2,7
16,552,12-01-2016,15-01-2016,15-01-2016,1,3
17,1175,12-01-2016,14-01-2016,14-01-2016,1,3
18,541,14-01-2016,17-01-2016,15-01-2016,1,3
19,696,14-01-2016,17-01-2016,16-01-2016,1,2
20,923,14-01-2016,16-01-2016,17-01-2016,1,2
21,1250,15-01-2016,16-01-2016,18-01-2016,2,6
22,1035,16-01-2016,18-01-2016,17-01-2016,1,2
23,1149,16-01-2016,19-01-2016,19-01-2016,1,2
24,636,18-01-2016,20-01-2016,19-01-2016,2,7
25,657,18-01-2016,21-01-2016,21-01-2016,2,6
26,1280,18-01-2016,21-01-2016,19-01-2016,2,7
27,57,19-01-2016,21-01-2016,20-01-2016,2,7
28,252,19-01-2016,20-01-2016,21-01-2016,2,6
29,437,20-01-2016,22-01-2016,21-01-2016,2,6
30,1348,20-01-2016,21-01-2016,21-01-2016,2,6
31,1238,20-01-2016,22-01-2016,22-01-2016,3,8
32,1259,21-01-2016,24-01-2016,22-01-2016,1,3
33,236,21-01-2016,22-01-2016,22-01-2016,2,6
34,80,22-01-2016,25-01-2016,23-01-2016,2,6
35,813,22-01-2016,25-01-2016,24-01-2016,2,7
36,1321,23-01-2016,24-01-2016,24-01-2016,2,6
37,164,25-01-2016,28-01-2016,26-01-2016,2,6
38,583,25-01-2016,27-01-2016,26-01-2016,2,7
39,1296,25-01-2016,26-01-2016,26-01-2016,2,7
40,348,27-01-2016,28-01-2016,29-01-2016,1,3
41,979,27-01-2016,30-01-2016,29-01-2016,2,6
42,1095,27-01-2016,28-01-2016,30-01-2016,2,7
43,1434,27-01-2016,28-01-2016,30-01-2016,2,7
44,861,28-01-2016,31-01-2016,30-01-2016,2,7
45,1220,28-01-2016,31-01-2016,31-01-2016,2,7
46,746,29-01-2016,31-01-2016,31-01-2016,2,7
47,1234,29-01-2016,30-01-2016,31-01-2016,2,7
48,1012,30-01-2016,01-02-2016,02-02-2016,2,7
49,608,31-01-2016,01-02-2016,02-02-2016,2,6
50,872,31-01-2016,03-02-2016,02-02-2016,3,8
51,1047,01-02-2016,02-02-2016,03-02-2016,2,7
52,767,03-02-2016,04-02-2016,05-02-2016,1,2
53,965,03-02-2016,04-02-2016,05-02-2016,2,6
54,535,04-02-2016,07-02-2016,07-02-2016,2,7
55,1173,04-02-2016,07-02-2016,06-02-2016,2,6
56,1241,04-02-2016,06-02-2016,07-02-2016,2,6
57,1305,04-02-2016,06-02-2016,06-02-2016,2,7
58,504,05-02-2016,07-02-2016,07-02-2016,2,6
59,563,05-02-2016,07-02-2016,06-02-2016,2,7
60,151,06-02-2016,08-02-2016,07-02-2016,1,3
61,277,06-02-2016,09-02-2016,09-02-2016,2,7
62,208,07-02-2016,10-02-2016,10-02-2016,1,2
63,1075,07-02-2016,09-02-2016,09-02-2016,2,7
64,1185,07-02-2016,08-02-2016,09-02-2016,2,6
65,996,08-02-2016,09-02-2016,11-02-2016,2,6
66,1253,09-02-2016,12-02-2016,12-02-2016,2,7
67,526,09-02-2016,11-02-2016,10-02-2016,3,8
68,381,10-02-2016,11-02-2016,13-02-2016,2,6
69,1413,10-02-2016,12-02-2016,11-02-2016,2,7
70,50,11-02-2016,11-02-2016,NULL,3,9
71,797,11-02-2016,14-02-2016,12-02-2016,2,7
72,1386,12-02-2016,15-02-2016,13-02-2016,1,2
73,612,12-02-2016,15-02-2016,14-02-2016,2,7
74,264,13-02-2016,15-02-2016,15-02-2016,2,7
75,587,14-02-2016,15-02-2016,17-02-2016,2,6
76,9,16-02-2016,16-02-2016,,2,6
77,385,16-02-2016,19-02-2016,19-02-2016,1,2
78,1182,16-02-2016,18-02-2016,19-02-2016,2,7
79,529,17-02-2016,20-02-2016,20-02-2016,1,3
80,397,17-02-2016,20-02-2016,19-02-2016,2,6
81,521,17-02-2016,19-02-2016,18-02-2016,2,6
82,1223,18-02-2016,21-02-2016,20-02-2016,2,6
83,393,19-02-2016,20-02-2016,20-02-2016,1,3
84,317,20-02-2016,22-02-2016,21-02-2016,2,7
85,1174,20-02-2016,23-02-2016,21-02-2016,2,7
86,276,21-02-2016,22-02-2016,23-02-2016,2,7
87,516,21-02-2016,22-02-2016,23-02-2016,2,6
88,1069,21-02-2016,22-02-2016,23-02-2016,2,6
89,668,21-02-2016,24-02-2016,24-02-2016,3,8
90,414,23-02-2016,25-02-2016,24-02-2016,2,7
91,648,25-02-2016,27-02-2016,28-02-2016,1,2
92,1309,25-02-2016,28-02-2016,28-02-2016,2,7
93,1328,26-02-2016,28-02-2016,27-02-2016,1,3
94,929,27-02-2016,28-02-2016,29-02-2016,1,2
95,218,27-02-2016,29-02-2016,28-02-2016,2,7
96,1094,27-02-2016,29-02-2016,28-02-2016,2,7
97,204,28-02-2016,29-02-2016,01-03-2016,2,7
98,1194,28-02-2016,29-02-2016,29-02-2016,2,6
99,1165,29-02-2016,01-03-2016,03-03-2016,3,9
100,1237,01-03-2016,04-03-2016,03-03-2016,2,7
101,271,01-03-2016,04-03-2016,04-03-2016,3,8
102,336,02-03-2016,05-03-2016,03-03-2016,2,7
103,991,03-03-2016,06-03-2016,05-03-2016,1,2
104,7,03-03-2016,05-03-2016,05-03-2016,2,7
105,306,03-03-2016,05-03-2016,04-03-2016,2,7
106,422,04-03-2016,05-03-2016,05-03-2016,3,9
107,633,06-03-2016,09-03-2016,09-03-2016,1,2
108,12,06-03-2016,09-03-2016,07-03-2016,2,6
109,1255,06-03-2016,09-03-2016,09-03-2016,2,6
110,677,06-03-2016,08-03-2016,09-03-2016,3,9
111,630,07-03-2016,10-03-2016,10-03-2016,2,6
112,469,08-03-2016,11-03-2016,10-03-2016,2,6
113,1078,08-03-2016,11-03-2016,11-03-2016,2,6
114,1431,08-03-2016,10-03-2016,11-03-2016,2,7
115,1369,09-03-2016,11-03-2016,11-03-2016,2,7
116,471,10-03-2016,11-03-2016,11-03-2016,2,7
117,740,10-03-2016,13-03-2016,11-03-2016,2,6
118,577,12-03-2016,14-03-2016,13-03-2016,1,2
119,925,12-03-2016,14-03-2016,14-03-2016,2,7
120,327,14-03-2016,15-03-2016,17-03-2016,2,7
121,755,14-03-2016,15-03-2016,16-03-2016,2,6
122,786,14-03-2016,16-03-2016,15-03-2016,2,6
123,766,15-03-2016,18-03-2016,17-03-2016,2,6
124,403,16-03-2016,18-03-2016,17-03-2016,1,3
125,685,16-03-2016,19-03-2016,17-03-2016,2,6
126,1365,16-03-2016,18-03-2016,18-03-2016,2,7
127,484,17-03-2016,18-03-2016,19-03-2016,3,8
128,86,18-03-2016,20-03-2016,21-03-2016,2,6
129,84,19-03-2016,21-03-2016,21-03-2016,2,7
130,1049,19-03-2016,22-03-2016,20-03-2016,2,6
131,316,19-03-2016,22-03-2016,20-03-2016,3,8
132,46,20-03-2016,22-03-2016,23-03-2016,1,3
133,409,20-03-2016,22-03-2016,21-03-2016,2,7
134,679,20-03-2016,21-03-2016,21-03-2016,2,7
135,1354,21-03-2016,23-03-2016,23-03-2016,2,7
136,1192,21-03-2016,24-03-2016,23-03-2016,3,8
137,370,23-03-2016,26-03-2016,25-03-2016,2,7
138,438,23-03-2016,24-03-2016,25-03-2016,2,7
139,710,23-03-2016,24-03-2016,26-03-2016,2,7
140,1264,23-03-2016,26-03-2016,26-03-2016,2,7
141,557,25-03-2016,27-03-2016,26-03-2016,2,7
142,170,26-03-2016,27-03-2016,27-03-2016,1,3
143,693,26-03-2016,28-03-2016,28-03-2016,2,7
144,1124,26-03-2016,29-03-2016,29-03-2016,2,7
145,366,27-03-2016,29-03-2016,30-03-2016,2,6
146,288,28-03-2016,30-03-2016,30-03-2016,1,3
147,55,28-03-2016,31-03-2016,31-03-2016,2,7
148,714,28-03-2016,30-03-2016,30-03-2016,2,6
149,763,28-03-2016,30-03-2016,29-03-2016,2,6
150,332,29-03-2016,31-03-2016,01-04-2016,1,2
151,926,29-03-2016,01-04-2016,31-03-2016,1,2
152,76,29-03-2016,30-03-2016,30-03-2016,2,6
153,498,30-03-2016,02-04-2016,01-04-2016,2,6
154,1286,31-03-2016,01-04-2016,01-04-2016,1,2
155,371,02-04-2016,03-04-2016,04-04-2016,2,6
156,357,03-04-2016,06-04-2016,05-04-2016,1,3
157,43,03-04-2016,06-04-2016,06-04-2016,3,8
158,117,04-04-2016,04-04-2016,NULL,3,9
159,32,04-04-2016,06-04-2016,06-04-2016,1,2
160,205,04-04-2016,06-04-2016,06-04-2016,2,7
161,251,04-04-2016,07-04-2016,05-04-2016,2,7
162,31,06-04-2016,08-04-2016,07-04-2016,1,3
163,1325,06-04-2016,07-04-2016,07-04-2016,2,7
164,610,07-04-2016,08-04-2016,09-04-2016,2,7
165,574,08-04-2016,10-04-2016,10-04-2016,1,3
166,338,08-04-2016,11-04-2016,11-04-2016,2,6
167,1034,08-04-2016,09-04-2016,11-04-2016,2,7
168,1147,09-04-2016,12-04-2016,11-04-2016,1,3
169,99,10-04-2016,11-04-2016,11-04-2016,2,7
170,1200,10-04-2016,11-04-2016,13-04-2016,2,7
171,237,11-04-2016,14-04-2016,14-04-2016,1,3
172,1079,11-04-2016,12-04-2016,14-04-2016,2,7
173,117,11-04-2016,14-04-2016,13-04-2016,3,8
174,1361,12-04-2016,13-04-2016,15-04-2016,2,7
175,951,13-04-2016,14-04-2016,14-04-2016,2,6
176,643,15-04-2016,16-04-2016,17-04-2016,2,7
177,121,16-04-2016,19-04-2016,19-04-2016,1,2
178,756,16-04-2016,17-04-2016,18-04-2016,2,6
179,616,17-04-2016,19-04-2016,19-04-2016,2,6
180,918,17-04-2016,20-04-2016,19-04-2016,2,7
181,459,18-04-2016,20-04-2016,20-04-2016,1,3
182,854,18-04-2016,19-04-2016,20-04-2016,2,6
183,22,19-04-2016,20-04-2016,20-04-2016,2,7
184,134,19-04-2016,21-04-2016,22-04-2016,2,7
185,24,20-04-2016,20-04-2016,NULL,1,2
186,1127,21-04-2016,22-04-2016,24-04-2016,2,6
187,183,22-04-2016,23-04-2016,24-04-2016,2,6
188,390,22-04-2016,23-04-2016,25-04-2016,2,6
189,1288,23-04-2016,24-04-2016,26-04-2016,1,2
190,98,23-04-2016,25-04-2016,25-04-2016,2,6
191,919,27-04-2016,28-04-2016,28-04-2016,1,2
192,728,27-04-2016,28-04-2016,29-04-2016,2,7
193,1366,28-04-2016,30-04-2016,30-04-2016,1,3
194,558,28-04-2016,30-04-2016,01-05-2016,2,7
195,727,28-04-2016,01-05-2016,01-05-2016,2,7
196,1247,28-04-2016,30-04-2016,01-05-2016,2,6
197,127,30-04-2016,03-05-2016,03-05-2016,2,7
198,640,01-05-2016,04-05-2016,03-05-2016,2,6
199,760,01-05-2016,04-05-2016,04-05-2016,2,7
200,1074,01-05-2016,03-05-2016,03-05-2016,2,6
201,280,01-05-2016,04-05-2016,02-05-2016,3,9
202,600,03-05-2016,05-05-2016,04-05-2016,1,2
203,1102,03-05-2016,05-05-2016,06-05-2016,3,9
204,591,04-05-2016,07-05-2016,06-05-2016,2,7
205,635,04-05-2016,05-05-2016,06-05-2016,2,6
206,743,04-05-2016,06-05-2016,05-05-2016,3,9
207,105,05-05-2016,07-05-2016,07-05-2016,2,7
208,815,06-05-2016,07-05-2016,09-05-2016,2,7
209,514,07-05-2016,08-05-2016,08-05-2016,2,6
210,943,07-05-2016,08-05-2016,09-05-2016,2,6
211,1140,07-05-2016,09-05-2016,08-05-2016,2,6
212,1373,08-05-2016,09-05-2016,11-05-2016,2,6
213,788,08-05-2016,09-05-2016,09-05-2016,3,8
214,363,10-05-2016,12-05-2016,11-05-2016,2,6
215,1420,10-05-2016,13-05-2016,12-05-2016,2,7
216,267,11-05-2016,14-05-2016,13-05-2016,1,3
217,716,11-05-2016,12-05-2016,14-05-2016,2,7
218,1179,12-05-2016,14-05-2016,14-05-2016,2,7
219,1338,12-05-2016,15-05-2016,15-05-2016,2,6
220,1358,12-05-2016,14-05-2016,15-05-2016,2,6
221,1218,13-05-2016,16-05-2016,14-05-2016,1,2
222,51,13-05-2016,16-05-2016,14-05-2016,2,6
223,1368,15-05-2016,16-05-2016,17-05-2016,2,7
224,157,17-05-2016,18-05-2016,19-05-2016,1,3
225,307,17-05-2016,20-05-2016,19-05-2016,1,3
226,501,17-05-2016,19-05-2016,20-05-2016,1,2
227,489,17-05-2016,18-05-2016,20-05-2016,2,7
228,615,17-05-2016,20-05-2016,20-05-2016,2,7
229,742,19-05-2016,21-05-2016,20-05-2016,2,6
230,1167,19-05-2016,20-05-2016,21-05-2016,2,6
231,1257,19-05-2016,22-05-2016,21-05-2016,2,6
232,1360,20-05-2016,23-05-2016,23-05-2016,1,3
233,737,21-05-2016,22-05-2016,24-05-2016,2,6
234,1435,22-05-2016,24-05-2016,24-05-2016,2,6
235,649,24-05-2016,25-05-2016,25-05-2016,2,6
236,206,25-05-2016,27-05-2016,26-05-2016,2,6
237,1351,25-05-2016,26-05-2016,27-05-2016,2,7
238,1350,26-05-2016,29-05-2016,29-05-2016,2,6
239,13,27-05-2016,27-05-2016,NULL,3,9
240,65,27-05-2016,29-05-2016,30-05-2016,2,6
241,1082,27-05-2016,29-05-2016,29-05-2016,2,7
242,1168,27-05-2016,30-05-2016,30-05-2016,2,7
243,802,27-05-2016,30-05-2016,28-05-2016,3,8
244,956,28-05-2016,29-05-2016,29-05-2016,2,6
245,223,29-05-2016,31-05-2016,30-05-2016,2,7
246,17,30-05-2016,30-05-2016,NULL,2,6
247,928,30-05-2016,01-06-2016,01-06-2016,1,3
248,1376,30-05-2016,01-06-2016,31-05-2016,2,7
249,145,01-06-2016,04-06-2016,04-06-2016,2,6
250,150,01-06-2016,02-06-2016,04-06-2016,2,7
251,851,01-06-2016,04-06-2016,04-06-2016,2,7
252,66,01-06-2016,04-06-2016,02-06-2016,3,8
253,1267,02-06-2016,05-06-2016,05-06-2016,2,6
254,510,03-06-2016,06-06-2016,05-06-2016,2,7
255,801,03-06-2016,06-06-2016,05-06-2016,2,7
256,26,04-06-2016,05-06-2016,07-06-2016,2,7
257,1314,05-06-2016,06-06-2016,08-06-2016,1,3
258,107,06-06-2016,07-06-2016,07-06-2016,2,7
259,413,06-06-2016,09-06-2016,09-06-2016,2,7
260,632,06-06-2016,08-06-2016,08-06-2016,2,6
261,1045,08-06-2016,10-06-2016,09-06-2016,1,2
262,579,08-06-2016,11-06-2016,10-06-2016,3,9
263,1322,09-06-2016,10-06-2016,12-06-2016,2,6
264,5,10-06-2016,10-06-2016,NULL,1,3
265,682,10-06-2016,12-06-2016,11-06-2016,2,7
